Accession	host_sci_name	gb_pubmed_id	Segment	strain	gb_length	patent_related	m49_country
KP339111	Mastomys natalensis	26911443	-	1310	756	-	GIN
KP339112	Mastomys natalensis	26911443	-	1484	756	-	GIN
KP339113	Mastomys natalensis	26911443	-	1520	756	-	GIN
KP339114	Mastomys natalensis	26911443	-	1549	756	-	GIN
KP339115	Mastomys natalensis	26911443	-	1586	756	-	GIN
KP339116	Mastomys natalensis	26911443	-	1591	756	-	GIN
KP339117	Mastomys natalensis	26911443	-	1605	756	-	GIN
KP339118	Mastomys natalensis	26911443	-	1606	756	-	GIN
KP339119	Mastomys natalensis	26911443	-	1645	756	-	GIN
KP339120	Mastomys natalensis	26911443	-	1747	756	-	GIN
KP339121	Mastomys natalensis	26911443	-	1755	756	-	GIN
KP339122	Mastomys natalensis	26911443	-	1770	756	-	GIN
KP339123	Mastomys natalensis	26911443	-	1786	756	-	GIN
KP339124	Mastomys natalensis	26911443	-	1824	756	-	GIN
KP339125	Mastomys natalensis	26911443	-	1826	756	-	GIN
KP339126	Mastomys natalensis	26911443	-	1840	756	-	GIN
KP339127	Mastomys natalensis	26911443	-	1858	756	-	GIN
KP339128	Mastomys natalensis	26911443	-	1873	756	-	GIN
KP339129	Mastomys natalensis	26911443	-	1878	756	-	GIN
KP339130	Mastomys natalensis	26911443	-	1892	756	-	GIN
KP339131	Mastomys natalensis	26911443	-	1918	756	-	GIN
KP339132	Mastomys natalensis	26911443	-	1925	756	-	GIN
KP339133	Mastomys natalensis	26911443	-	1946	756	-	GIN
KP640562	Mastomys natalensis	26982388	-	Eguare-Egoro 88	910	-	NGA
KP640563	Mastomys natalensis	26982388	-	Eguare-Egoro 97	909	-	NGA
KP640564	Mastomys natalensis	26982388	-	Eguare-Egoro 106	884	-	NGA
KP640565	Mastomys natalensis	26982388	-	Eguare-Egoro 109	910	-	NGA
KP640566	Mastomys natalensis	26982388	-	Eguare-Egoro 240	908	-	NGA
KP640567	Mastomys natalensis	26982388	-	Eguare-Egoro 271	897	-	NGA
KP640568	Mastomys natalensis	26982388	-	Ekpoma 447	910	-	NGA
KP640569	Mastomys natalensis	26982388	-	Ekpoma 508	910	-	NGA
KP640570	Mastomys natalensis	26982388	-	Ekpoma 512	910	-	NGA
KP640571	Mastomys natalensis	26982388	-	Ekpoma 518	910	-	NGA
KP640572	Mastomys natalensis	26982388	-	Ekpoma 521	910	-	NGA
KP640573	Mastomys natalensis	26982388	-	Ekpoma 539	910	-	NGA
KP640574	Mastomys natalensis	26982388	-	Ekpoma 549	910	-	NGA
KP640575	Mastomys natalensis	26982388	-	Ekpoma 555	910	-	NGA
KP640576	Mastomys natalensis	26982388	-	Ekpoma 601	910	-	NGA
KP688321	Mastomys natalensis	26982388	-	Eguare-Egoro 88	340	-	NGA
KP688322	Mastomys natalensis	26982388	-	Eguare-Egoro 97	340	-	NGA
KP688323	Mastomys natalensis	26982388	-	Eguare-Egoro 106	340	-	NGA
KP688324	Mastomys natalensis	26982388	-	Eguare-Egoro 109	340	-	NGA
KP688325	Mastomys natalensis	26982388	-	Eguare-Egoro 240	340	-	NGA
KP688326	Mastomys natalensis	26982388	-	Eguare-Egoro 271	340	-	NGA
KP688327	Mastomys natalensis	26982388	-	Ekpoma 447	340	-	NGA
KP688328	Mastomys natalensis	26982388	-	Ekpoma 508	340	-	NGA
KP688329	Mastomys natalensis	26982388	-	Ekpoma 512	340	-	NGA
KP688330	Mastomys natalensis	26982388	-	Ekpoma 518	340	-	NGA
KP688331	Mastomys natalensis	26982388	-	Ekpoma 521	340	-	NGA
KP688332	Mastomys natalensis	26982388	-	Ekpoma 539	340	-	NGA
KP688333	Mastomys natalensis	26982388	-	Ekpoma 549	340	-	NGA
KP688334	Mastomys natalensis	26982388	-	Ekpoma 555	340	-	NGA
KP688335	Mastomys natalensis	26982388	-	Ekpoma 601	340	-	NGA
KT833175	Mastomys natalensis	26911443	-	Sok07	754	-	GIN
KT833176	Mastomys natalensis	26911443	-	Sok10	754	-	GIN
KT833177	Mastomys natalensis	26911443	-	Sok18	754	-	GIN
KT833178	Mastomys natalensis	26911443	-	Sok21	754	-	GIN
KT833179	Mastomys natalensis	26911443	-	Sok22	754	-	GIN
KT833180	Mastomys natalensis	26911443	-	Sok32	754	-	GIN
KT833181	Mastomys natalensis	26911443	-	Sok34	754	-	GIN
KT833182	Mastomys natalensis	26911443	-	Dam03	754	-	GIN
KT833183	Mastomys natalensis	26911443	-	Dam05	754	-	GIN
KT833184	Mastomys natalensis	26911443	-	Dam15	754	-	GIN
KT833185	Mastomys natalensis	26911443	-	Dam20	754	-	GIN
KT833186	Mastomys natalensis	26911443	-	Dam38	754	-	GIN
KT833187	Mastomys natalensis	26911443	-	Dam49	754	-	GIN
KT833188	Mastomys natalensis	26911443	-	Yar14	754	-	GIN
KT833189	Mastomys natalensis	26911443	-	Yar20	754	-	GIN
KT833190	Mastomys natalensis	26911443	-	Yar24	754	-	GIN
KT833191	Mastomys natalensis	26911443	-	Yar36	754	-	GIN
KT833192	Mastomys natalensis	26911443	-	Yar46	754	-	GIN
KT833193	Mastomys natalensis	26911443	-	Kho10	754	-	GIN
KT833194	Mastomys natalensis	26911443	-	Kho29	754	-	GIN
KT833195	Mastomys natalensis	26911443	-	Kho30	754	-	GIN
KT833196	Mastomys natalensis	26911443	-	Dal02	754	-	GIN
KT833197	Mastomys natalensis	26911443	-	Dal04	754	-	GIN
KT833198	Mastomys natalensis	26911443	-	Dal11	754	-	GIN
KT833199	Mastomys natalensis	26911443	-	Dal17	754	-	GIN
KT833200	Mastomys natalensis	26911443	-	Dal25	754	-	GIN
KT833201	Mastomys natalensis	26911443	-	Dal29	754	-	GIN
KT833202	Mastomys natalensis	26911443	-	Dal31	754	-	GIN
KT833203	Mastomys natalensis	26911443	-	Saf01	754	-	GIN
KT833204	Mastomys natalensis	26911443	-	Sil03	746	-	GIN
KT833205	Mastomys natalensis	26911443	-	Bri08	754	-	GIN
KT833206	Mastomys natalensis	26911443	-	Bri39	754	-	GIN
KT833207	Mastomys natalensis	26911443	-	Dam71	754	-	GIN
KT833208	Mastomys natalensis	26911443	-	Dam72	754	-	GIN
KT833209	Mastomys natalensis	26911443	-	Dam90	754	-	GIN
KT833210	Mastomys natalensis	26911443	-	Dam95	754	-	GIN
KT833211	Mastomys natalensis	26911443	-	Sok40	754	-	GIN
KT833212	Mastomys natalensis	26911443	-	Sok44	754	-	GIN
KT833213	Mastomys natalensis	26911443	-	Sok51	754	-	GIN
KT833214	Mastomys natalensis	26911443	-	Sok61	754	-	GIN
KT833215	Mastomys natalensis	26911443	-	Sok62	754	-	GIN
KT833216	Mastomys natalensis	26911443	-	Sok75	754	-	GIN
KT833217	Mastomys natalensis	26911443	-	Sok76	754	-	GIN
KT833218	Mastomys natalensis	26911443	-	Sok77	754	-	GIN
KT833219	Mastomys natalensis	26911443	-	Son85	754	-	GIN
KT833220	Mastomys natalensis	26911443	-	Son109	754	-	GIN
KT833221	Mastomys natalensis	26911443	-	Yar51	754	-	GIN
KT833222	Mastomys natalensis	26911443	-	Dal53	754	-	GIN
KT992416	Mastomys erythroleucus	27140942	-	Mad39	3393	-	GIN
KT992417	Mastomys erythroleucus	27140942	-	Mad41	3386	-	GIN
KT992418	Mastomys erythroleucus	27140942	-	Mad62	3393	-	GIN
KT992419	Mastomys erythroleucus	27140942	-	Mad63	3384	-	GIN
KT992420	Mastomys erythroleucus	27140942	-	Mad69	3393	-	GIN
KT992421	Mastomys erythroleucus	27140942	-	Mad83	3317	-	GIN
KT992422	Mastomys erythroleucus	27140942	-	ONM-299	3368	-	NGA
KT992423	Mastomys erythroleucus	27140942	-	ONM-314	3368	-	NGA
KT992424	Mastomys erythroleucus	27140942	-	ONM-700	3368	-	NGA
KT992425	Hylomyscus pamfi	27140942	-	KAK-428	3300	-	NGA
KT992426	Mastomys erythroleucus	27140942	-	Mad39	7257	-	GIN
KT992427	Mastomys erythroleucus	27140942	-	Mad41	7257	-	GIN
KT992428	Mastomys erythroleucus	27140942	-	Mad62	7257	-	GIN
KT992429	Mastomys erythroleucus	27140942	-	Mad63	7257	-	GIN
KT992430	Mastomys erythroleucus	27140942	-	Mad69	7257	-	GIN
KT992431	Mastomys erythroleucus	27140942	-	Mad83	7257	-	GIN
KT992432	Mastomys erythroleucus	27140942	-	ONM-299	7198	-	NGA
KT992433	Mastomys erythroleucus	27140942	-	ONM-314	7198	-	NGA
KT992434	Mastomys erythroleucus	27140942	-	ONM-700	7183	-	NGA
KT992435	Hylomyscus pamfi	27140942	-	KAK-428	7145	-	NGA
KT992436	Hylomyscus pamfi	27140942	-	OSPMH86	919	-	NGA
KT992437	Hylomyscus pamfi	27140942	-	OSPMH89	919	-	NGA
KT992438	Hylomyscus pamfi	27140942	-	OSPMH123	919	-	NGA
KT992439	Hylomyscus pamfi	27140942	-	OSPMH124	919	-	NGA
KT992440	Hylomyscus pamfi	27140942	-	OSPMH86	386	-	NGA
KT992441	Hylomyscus pamfi	27140942	-	OSPMH89	386	-	NGA
KT992442	Hylomyscus pamfi	27140942	-	OSPMH123	386	-	NGA
KT992443	Hylomyscus pamfi	27140942	-	OSPMH124	386	-	NGA
KU961971	Homo sapiens	-	S	-	3384	-	TGO
KU961972	Homo sapiens	-	L	-	7282	-	TGO
KU978807	Homo sapiens	-	S	-	3395	-	GIN
KU978808	Homo sapiens	-	L	-	7252	-	GIN
KU978809	Homo sapiens	-	L	-	7274	-	GIN
KU978810	Homo sapiens	-	S	-	3393	-	GIN
KU978811	Homo sapiens	-	S	-	3424	-	NGA
KU978812	Homo sapiens	-	L	-	7283	-	NGA
KY425626	Homo sapiens	-	L	-	7234	-	GIN
KY425628	Homo sapiens	-	L	-	7262	-	GIN
KY425632	Homo sapiens	-	L	-	7273	-	SLE
KY425634	Homo sapiens	-	L	-	7277	-	SLE
KY425635	Homo sapiens	-	S	-	3398	-	GIN
KY425638	Homo sapiens	-	S	-	3396	-	SLE
KY425640	Homo sapiens	-	L	-	7273	-	SLE
KY425641	Homo sapiens	-	S	-	3394	-	SLE
KY425642	Homo sapiens	-	S	-	3389	-	GIN
KY425643	Homo sapiens	-	S	-	3396	-	SLE
KY425650	Homo sapiens	-	S	-	3396	-	SLE
KY425651	Homo sapiens	-	L	-	7274	-	SLE
LC387468	Homo sapiens	30500827	S	-	3291	-	NGA
LC387469	Homo sapiens	30500827	L	-	7137	-	NGA
LC387470	Homo sapiens	30500827	S	-	3299	-	NGA
LC387471	Homo sapiens	30500827	L	-	7143	-	NGA
LC387472	Homo sapiens	30500827	S	-	3280	-	NGA
LC387473	Homo sapiens	30500827	L	-	7134	-	NGA
LC387474	Homo sapiens	30500827	S	-	3279	-	NGA
LC387475	Homo sapiens	30500827	L	-	7147	-	NGA
LC387476	Homo sapiens	30500827	S	-	3276	-	NGA
LC387477	Homo sapiens	30500827	L	-	7131	-	NGA
LC387478	Homo sapiens	30500827	S	-	3267	-	NGA
LC387479	Homo sapiens	30500827	L	-	7170	-	NGA
LC387480	Homo sapiens	30500827	S	-	3260	-	NGA
LC387481	Homo sapiens	30500827	L	-	7135	-	NGA
LC387482	Homo sapiens	30500827	S	-	3294	-	NGA
LC387483	Homo sapiens	30500827	L	-	7146	-	NGA
LC387484	Homo sapiens	30500827	S	-	3275	-	NGA
LC387485	Homo sapiens	30500827	L	-	7153	-	NGA
LC387486	Homo sapiens	30500827	S	-	3273	-	NGA
LC387487	Homo sapiens	30500827	L	-	7167	-	NGA
LC387488	Homo sapiens	30500827	S	-	3268	-	NGA
LC387489	Homo sapiens	30500827	L	-	7169	-	NGA
LC388575	Homo sapiens	30500827	S	-	823	-	NGA
LC388576	Homo sapiens	30500827	S	-	287	-	NGA
LC388577	Homo sapiens	30500827	S	-	703	-	NGA
LC388578	Homo sapiens	30500827	S	-	234	-	NGA
LC388579	Homo sapiens	30500827	S	-	282	-	NGA
LC388580	Homo sapiens	30500827	S	-	282	-	NGA
LC388581	Homo sapiens	30500827	S	-	259	-	NGA
LC388582	Homo sapiens	30500827	S	-	282	-	NGA
LC388583	Homo sapiens	30500827	S	-	282	-	NGA
LC388584	Homo sapiens	30500827	S	-	282	-	NGA
LC388585	Homo sapiens	30500827	S	-	282	-	NGA
LC388586	Homo sapiens	30500827	S	-	282	-	NGA
LC388587	Homo sapiens	30500827	S	-	281	-	NGA
LC388588	Homo sapiens	30500827	S	-	281	-	NGA
LC388589	Homo sapiens	30500827	S	-	281	-	NGA
LC388590	Homo sapiens	30500827	S	-	282	-	NGA
LC388591	Homo sapiens	30500827	S	-	241	-	NGA
LC388592	Homo sapiens	30500827	S	-	1520	-	NGA
LN823982	Mastomys natalensis	26196447	-	124	340	-	CIV
LN823983	Mastomys natalensis	26196447	-	127	340	-	CIV
LN823984	Mastomys natalensis	26196447	-	132	340	-	CIV
LN823985	Mastomys natalensis	26196447	-	139	340	-	CIV
LP044168	-	-	-	-	3401	TRUE	-
LT601601	-	-	I	-	7282	-	-
LT601602	-	-	I	-	3415	-	-
M15076	-	3750844	-	-	1658	-	-
MF317932	Homo sapiens	-	-	-	263	-	BEN
MF317933	Homo sapiens	-	-	-	263	-	NGA
MF317934	Homo sapiens	-	-	-	263	-	NGA
MF317935	Homo sapiens	-	-	-	263	-	NGA
MF317936	Homo sapiens	-	-	-	263	-	NGA
MF317937	Homo sapiens	-	-	-	263	-	NGA
MF317938	Homo sapiens	-	-	-	263	-	NGA
MF317939	Homo sapiens	-	-	-	263	-	NGA
MF317940	Homo sapiens	-	-	-	263	-	NGA
MF317941	Homo sapiens	-	-	-	263	-	NGA
MF317942	Homo sapiens	-	-	-	263	-	NGA
MF317943	Homo sapiens	-	-	-	263	-	NGA
MF317944	Homo sapiens	-	-	-	263	-	NGA
MF317945	Homo sapiens	-	-	-	266	-	NGA
MF317946	Homo sapiens	-	-	-	266	-	NGA
MF990886	Homo sapiens	29460758	L	-	7286	-	TGO
MF990887	Homo sapiens	29460758	L	-	7286	-	TGO
MF990888	Homo sapiens	29460758	S	-	3374	-	TGO
MF990889	Homo sapiens	29460758	S	-	3383	-	TGO
MG812630	Homo sapiens	-	L	-	7243	-	LBR
MG812631	Homo sapiens	-	S	-	3402	-	LBR
MG812632	Homo sapiens	-	S	-	3391	-	LBR
MG812633	Homo sapiens	-	L	-	7238	-	LBR
MG812634	Homo sapiens	-	L	-	7230	-	NGA
MG812635	Homo sapiens	-	S	-	3410	-	NGA
MG812636	Homo sapiens	-	S	-	3395	-	LBR
MG812637	Homo sapiens	-	L	-	7260	-	LBR
MG812638	Homo sapiens	-	L	-	7278	-	SLE
MG812639	Homo sapiens	-	S	-	3400	-	SLE
MG812640	Homo sapiens	-	L	-	7274	-	NGA
MG812641	Homo sapiens	-	S	-	3457	-	NGA
MG812642	Homo sapiens	-	L	-	7286	-	SLE
MG812643	-	-	S	-	3401	-	SLE
MG812644	Homo sapiens	-	L	-	7281	-	GIN
MG812645	Homo sapiens	-	S	-	3399	-	GIN
MG812646	Homo sapiens	-	L	-	7265	-	SLE
MG812647	Homo sapiens	-	S	-	3398	-	SLE
MG812648	Homo sapiens	-	S	-	3394	-	LBR
MG812649	Homo sapiens	-	L	-	7261	-	LBR
MG812650	Homo sapiens	-	S	-	3380	-	LBR
MG812651	Homo sapiens	-	L	-	7168	-	LBR
MG812652	Homo sapiens	-	L	-	7135	-	LBR
MG812653	Homo sapiens	-	S	-	3370	-	LBR
MG812654	Homo sapiens	-	L	-	7134	-	LBR
MG812655	Homo sapiens	-	S	-	3351	-	LBR
MG812656	Homo sapiens	-	L	-	7210	-	LBR
MG812657	Homo sapiens	-	S	-	3332	-	LBR
MG812658	Homo sapiens	-	S	-	3378	-	LBR
MG812659	Homo sapiens	-	L	-	7255	-	LBR
MG812660	Homo sapiens	-	L	-	7133	-	LBR
MG812661	Homo sapiens	-	S	-	3380	-	LBR
MG812662	Homo sapiens	-	L	-	7156	-	LBR
MG812663	Homo sapiens	-	S	-	3353	-	LBR
MG812664	Homo sapiens	-	L	-	7118	-	LBR
MG812665	Homo sapiens	-	S	-	3386	-	LBR
MG812666	Homo sapiens	-	L	-	7299	-	LBR
MG812667	Homo sapiens	-	S	-	3347	-	LBR
MG812668	Homo sapiens	-	L	-	7215	-	LBR
MG812669	Homo sapiens	-	S	-	3390	-	LBR
MG812670	Homo sapiens	-	S	-	3340	-	LBR
MG812671	Homo sapiens	-	L	-	7290	-	LBR
MG812672	Homo sapiens	-	L	-	7253	-	LBR
MG812673	Homo sapiens	-	S	-	3391	-	LBR
MG812674	Homo sapiens	-	L	-	7327	-	NGA
MG812675	Homo sapiens	-	S	-	3426	-	NGA
MG812676	Homo sapiens	-	L	-	7150	-	LBR
MG812677	Homo sapiens	-	S	-	3304	-	LBR
MG812678	Homo sapiens	-	L	-	7175	-	LBR
MG812679	Homo sapiens	-	S	-	3388	-	LBR
MG812680	Homo sapiens	-	L	-	7254	-	NGA
MG812681	Homo sapiens	-	S	-	3400	-	NGA
MG812682	Homo sapiens	-	L	-	7268	-	SLE
MG812683	Homo sapiens	-	S	-	3375	-	SLE
MG812684	Homo sapiens	-	L	-	7248	-	GIN
MG812685	Homo sapiens	-	S	-	3388	-	GIN
MH053463	Homo sapiens	-	S	-	3251	-	NGA
MH053464	Homo sapiens	-	L	-	6628	-	NGA
MH053465	Homo sapiens	-	L	-	6659	-	NGA
MH053466	Homo sapiens	-	L	-	7001	-	NGA
MH053467	Homo sapiens	-	L	-	6576	-	NGA
MH053468	Homo sapiens	-	S	-	3258	-	NGA
MH053469	Homo sapiens	-	L	-	6735	-	NGA
MH053470	Homo sapiens	-	S	-	3256	-	NGA
MH053471	Homo sapiens	-	L	-	6722	-	NGA
MH053472	Homo sapiens	-	S	-	3265	-	NGA
MH053473	Homo sapiens	-	L	-	7071	-	NGA
MH053474	Homo sapiens	-	S	-	3263	-	NGA
MH053475	Homo sapiens	-	S	-	3255	-	NGA
MH053476	Homo sapiens	-	S	-	3383	-	NGA
MH053477	Homo sapiens	-	L	-	6671	-	NGA
MH053478	Homo sapiens	-	S	-	3335	-	NGA
MH053479	Homo sapiens	-	L	-	6698	-	NGA
MH053480	Homo sapiens	-	S	-	3259	-	NGA
MH053481	Homo sapiens	-	L	-	6454	-	NGA
MH053482	Homo sapiens	-	S	-	3258	-	NGA
MH053483	Homo sapiens	-	S	-	3389	-	NGA
MH053484	Homo sapiens	-	S	-	3321	-	NGA
MH053485	Homo sapiens	-	S	-	3393	-	NGA
MH053486	Homo sapiens	-	L	-	6684	-	NGA
MH053487	Homo sapiens	-	S	-	3362	-	NGA
MH053488	Homo sapiens	-	S	-	3390	-	NGA
MH053489	Homo sapiens	-	L	-	7153	-	NGA
MH053490	Homo sapiens	-	S	-	3393	-	NGA
MH053491	Homo sapiens	-	S	-	3394	-	NGA
MH053492	Homo sapiens	-	L	-	7135	-	NGA
MH053493	Homo sapiens	-	S	-	3396	-	NGA
MH053494	Homo sapiens	-	L	-	7227	-	NGA
MH053495	Homo sapiens	-	L	-	6629	-	NGA
MH053496	Homo sapiens	-	L	-	7185	-	NGA
MH053497	Homo sapiens	-	S	-	3385	-	NGA
MH053498	Homo sapiens	-	S	-	3391	-	NGA
MH053499	Homo sapiens	-	L	-	7183	-	NGA
MH053500	Homo sapiens	-	L	-	7192	-	NGA
MH053501	Homo sapiens	-	S	-	3333	-	NGA
MH053502	Homo sapiens	-	S	-	3387	-	NGA
MH053503	Homo sapiens	-	L	-	7146	-	NGA
MH053504	Homo sapiens	-	L	-	7129	-	NGA
MH053505	Homo sapiens	-	L	-	7159	-	NGA
MH053506	Homo sapiens	-	S	-	3380	-	NGA
MH053507	Homo sapiens	-	L	-	7034	-	NGA
MH053508	Homo sapiens	-	L	-	7233	-	NGA
MH053509	Homo sapiens	-	L	-	6483	-	NGA
MH053510	Homo sapiens	-	L	-	6712	-	NGA
MH053511	Homo sapiens	-	S	-	3393	-	NGA
MH053512	Homo sapiens	-	L	-	7188	-	NGA
MH053513	Homo sapiens	-	S	-	3393	-	NGA
MH053514	Homo sapiens	-	S	-	3393	-	NGA
MH053515	Homo sapiens	-	L	-	7216	-	NGA
MH053516	Homo sapiens	-	L	-	7084	-	NGA
MH053517	Homo sapiens	-	L	-	7139	-	NGA
MH053518	Homo sapiens	-	S	-	3375	-	NGA
MH053519	Homo sapiens	-	L	-	7101	-	NGA
MH053520	Homo sapiens	-	L	-	7193	-	NGA
MH053521	Homo sapiens	-	L	-	7183	-	NGA
MH053522	Homo sapiens	-	S	-	3287	-	NGA
MH053523	Homo sapiens	-	S	-	3357	-	NGA
MH053524	Homo sapiens	-	L	-	6818	-	NGA
MH053525	Homo sapiens	-	L	-	7238	-	NGA
MH053526	Homo sapiens	-	S	-	3396	-	NGA
MH053527	Homo sapiens	-	S	-	3334	-	NGA
MH053528	Homo sapiens	-	S	-	3364	-	NGA
MH053529	Homo sapiens	-	L	-	7177	-	NGA
MH053530	Homo sapiens	-	L	-	7145	-	NGA
MH053531	Homo sapiens	-	S	-	3390	-	NGA
MH053532	Homo sapiens	-	L	-	7161	-	NGA
MH053533	Homo sapiens	-	S	-	3380	-	NGA
MH053534	Homo sapiens	-	L	-	7153	-	NGA
MH053535	Homo sapiens	-	L	-	7237	-	NGA
MH053536	Homo sapiens	-	S	-	3395	-	NGA
MH053537	Homo sapiens	-	S	-	3385	-	NGA
MH053538	Homo sapiens	-	S	-	3375	-	NGA
MH053539	Homo sapiens	-	L	-	6730	-	NGA
MH053540	Homo sapiens	-	L	-	6776	-	NGA
MH053541	Homo sapiens	-	L	-	6726	-	NGA
MH053542	Homo sapiens	-	L	-	7207	-	NGA
MH053543	Homo sapiens	-	L	-	7098	-	NGA
MH053544	Homo sapiens	-	S	-	3390	-	NGA
MH053545	Homo sapiens	-	S	-	3391	-	NGA
MH053546	Homo sapiens	-	L	-	7235	-	NGA
MH053547	Homo sapiens	-	L	-	7186	-	NGA
MH053548	Homo sapiens	-	L	-	7132	-	NGA
MH053549	Homo sapiens	-	L	-	7210	-	NGA
MH053550	Homo sapiens	-	L	-	7090	-	NGA
MH053551	Homo sapiens	-	S	-	3378	-	NGA
MH053552	Homo sapiens	-	S	-	3341	-	NGA
MH053553	Homo sapiens	-	S	-	3347	-	NGA
MH053554	Homo sapiens	-	S	-	3382	-	NGA
MH053555	Homo sapiens	-	S	-	3356	-	NGA
MH053556	Homo sapiens	-	L	-	7082	-	NGA
MH053557	Homo sapiens	-	S	-	3283	-	NGA
MH053558	Homo sapiens	-	L	-	6812	-	NGA
MH053559	Homo sapiens	-	S	-	3393	-	NGA
MH053560	Homo sapiens	-	S	-	3378	-	NGA
MH053561	Homo sapiens	-	S	-	3390	-	NGA
MH053562	Homo sapiens	-	S	-	3393	-	NGA
MH053563	Homo sapiens	-	L	-	7232	-	NGA
MH053564	Homo sapiens	-	S	-	3395	-	NGA
MH053565	Homo sapiens	-	L	-	7158	-	NGA
MH053566	Homo sapiens	-	L	-	7164	-	NGA
MH053567	Homo sapiens	-	S	-	3349	-	NGA
MH053568	Homo sapiens	-	L	-	7017	-	NGA
MH053569	Homo sapiens	-	L	-	7072	-	NGA
MH053570	Homo sapiens	-	L	-	7235	-	NGA
MH053571	Homo sapiens	-	L	-	7231	-	NGA
MH053572	Homo sapiens	-	S	-	3295	-	NGA
MH053573	Homo sapiens	-	S	-	3396	-	NGA
MH053574	Homo sapiens	-	S	-	3369	-	NGA
MH053575	Homo sapiens	-	S	-	3369	-	NGA
MH053576	Homo sapiens	-	S	-	3379	-	NGA
MH053577	Homo sapiens	-	S	-	3364	-	NGA
MH053578	Homo sapiens	-	S	-	3392	-	NGA
MH053579	Homo sapiens	-	L	-	7117	-	NGA
MH053580	Homo sapiens	-	S	-	3358	-	NGA
MH053581	Homo sapiens	-	L	-	7135	-	NGA
MH053582	Homo sapiens	-	S	-	3339	-	NGA
MH053583	Homo sapiens	-	L	-	6564	-	NGA
MH053584	Homo sapiens	-	S	-	3245	-	NGA
MH053585	Homo sapiens	-	L	-	7078	-	NGA
MH053586	Homo sapiens	-	S	-	3393	-	NGA
MH053587	Homo sapiens	-	L	-	7235	-	NGA
MH053588	Homo sapiens	-	S	-	3393	-	NGA
MH053589	Homo sapiens	-	S	-	3286	-	NGA
MH053590	Homo sapiens	-	L	-	6711	-	NGA
MH157026	Homo sapiens	-	L	-	6326	-	NGA
MH157027	Homo sapiens	-	L	-	6915	-	NGA
MH157028	Homo sapiens	-	S	-	3336	-	NGA
MH157029	Homo sapiens	-	L	-	7215	-	NGA
MH157030	Homo sapiens	-	S	-	2580	-	NGA
MH157031	Homo sapiens	-	L	-	7074	-	NGA
MH157032	Homo sapiens	-	S	-	3375	-	NGA
MH157033	Homo sapiens	-	L	-	7140	-	NGA
MH157034	Homo sapiens	-	S	-	3389	-	NGA
MH157035	Homo sapiens	-	S	-	3390	-	NGA
MH157036	Homo sapiens	-	L	-	7121	-	NGA
MH157037	Homo sapiens	-	S	-	3330	-	NGA
MH157038	Homo sapiens	-	S	-	3378	-	NGA
MH157039	Homo sapiens	-	S	-	3301	-	NGA
MH157040	Homo sapiens	-	L	-	7085	-	NGA
MH157041	Homo sapiens	-	S	-	3319	-	NGA
MH157042	Homo sapiens	-	L	-	7153	-	NGA
MH157043	Homo sapiens	-	L	-	6841	-	NGA
MH157044	Homo sapiens	-	S	-	3275	-	NGA
MH157045	Homo sapiens	-	S	-	3340	-	NGA
MH157046	Homo sapiens	-	S	-	3279	-	NGA
MH157047	Homo sapiens	-	L	-	7103	-	NGA
MH157048	Homo sapiens	-	L	-	7092	-	NGA
MH157049	Homo sapiens	-	L	-	7239	-	NGA
MH157050	Homo sapiens	-	S	-	3323	-	NGA
MH157051	Homo sapiens	-	L	-	6418	-	NGA
MH157052	Homo sapiens	-	S	-	3148	-	NGA
MH157053	Homo sapiens	-	L	-	7133	-	NGA
MH215278	Homo sapiens	-	L	-	7173	-	LBR
MH215279	Homo sapiens	-	S	-	3392	-	LBR
MH215280	Homo sapiens	-	L	-	7258	-	LBR
MH215281	Homo sapiens	-	S	-	3378	-	LBR
MH215282	Homo sapiens	-	L	-	7260	-	LBR
MH215283	Homo sapiens	-	S	-	3390	-	LBR
MH215284	Homo sapiens	-	L	-	7279	-	LBR
MH215285	Homo sapiens	-	S	-	3398	-	LBR
MH215286	Homo sapiens	-	L	-	7177	-	LBR
MH215287	Homo sapiens	-	S	-	3392	-	LBR
MH215288	Homo sapiens	-	L	-	7236	-	LBR
MH215289	Homo sapiens	-	S	-	3390	-	LBR
MH473586	Homo sapiens	-	S	-	303	-	MLI
MH473587	Homo sapiens	-	S	-	288	-	MLI
MH732623	Mastomys natalensis	-	-	-	887	-	GIN
MH732624	Mastomys natalensis	-	-	-	887	-	GIN
MH732625	Mastomys natalensis	-	-	-	887	-	GIN
MH732626	Mastomys natalensis	-	-	-	887	-	GIN
MH732627	Mastomys natalensis	-	-	-	887	-	GIN
MH732628	Mastomys natalensis	-	-	-	887	-	GIN
MH732629	Mastomys natalensis	-	-	-	887	-	GIN
MH732630	Mastomys natalensis	-	-	-	887	-	GIN
MH732631	Mastomys natalensis	-	-	-	887	-	GIN
MH732632	Mastomys natalensis	-	-	-	887	-	GIN
MH732633	Mastomys natalensis	-	-	-	887	-	GIN
MH732634	Mastomys natalensis	-	-	-	887	-	GIN
MH732635	Mastomys natalensis	-	-	-	887	-	GIN
MH732636	Mastomys natalensis	-	-	-	887	-	GIN
MH732637	Mastomys natalensis	-	-	-	887	-	GIN
MH732638	Mastomys natalensis	-	-	-	887	-	GIN
MH732639	Mastomys natalensis	-	-	-	887	-	GIN
MH732640	Mastomys natalensis	-	-	-	887	-	GIN
MH887755	Homo sapiens	30332564	S	-	3394	-	NGA
